name,road,district,province
Nonthaburi Land Office,Bond Street,Pak Kret,Nonthaburi
Bank of Thailand,Samsen Rd,Phra Nakhon,Bangkok
Ministry of Industry,Rama 6 Rd,Ratchathewi,Bangkok
Center For Agricultural Information,Ngamwongwan Rd,Chatuchak,Bangkok
Ministry of Defence Deputy Office,Popular Rd,Pak Kret,Nonthaburi
Nongkhame District Office,Petchkasem Rd,Nong Khaem,Bangkok
Thungkhru District Office,"Soi 86, Prachautit Rd",Thung Khru,Bangkok
National Institute of Metrology,,Khlong Luang,Pathum Thani
Technical Promotion and Support Office 2,"Soi Yothin Phatthana, Praditmanutham Rd",Lat Phrao,Bangkok
Taling Chan District Office,,Taling Chan,Bangkok
Khlongsanwa District Office,Liap Khlong Song Rd,Khlong Sam Wa,Bangkok
The Support Arts and Crafts International Center of Thailand - Amarin Plaza,Phloen Chit Rd,Pathum Wan,Bangkok
Ministry of Social Development and Human Security,Krung Kasem Rd,Pom Prap Sattru Phai,Bangkok
Capital Hall of Nonthaburee,,,Nonthaburi
Royal Thai Navy,Arun Amarin Rd,Bangkok Yai,Bangkok
Royal Palace Guard Calvary Division 2nd,"Soi 2, Phahonyothin Rd",Phaya Thai,Bangkok
The Office of Tourism Development,Rama 1 Rd,Pathum Wan,Bangkok
Unicef,Phra Athit Rd,Phra Nakhon,Bangkok
Post Engineering Department,Prasert-Manukitch Rd,Chatuchak,Bangkok
Ministry of Defence,Sanamchai Rd,Phra Nakhon,Bangkok
The Institute of Administration Development,Rangsit-Nakorn Nayo Rd,Thanyaburi,Pathum Thani
Ministry of Natural Resources and Environment,"Soi 7, Phahonyothin Rd",Phaya Thai,Bangkok
Office of The Attorney General,Ratchadapisek Rd,Chatuchak,Bangkok
Ministry of Energy (Old Site),Rama 1 Rd,Pathum Wan,Bangkok
